index,d__Bacteria;__;__;__;__;__;__,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea_A;s__Defluviitalea_A phaphyphila,Unassigned;__;__;__;__;__;__,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;__,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium leopoldii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_D_735815;s__Haemophilus_D_735815 pittmaniae,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C;__,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_D_735815;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Buchnera;__,Platform,Strategy,Source,Layout
Illumina_NZ_GG666315.1,6467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_GL878522.1,6537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAERMS010000083.1,0.0,0.0,6472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAJCRT010000018.1,6494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAJDKT010000074.1,0.0,6448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JANDZW010000012.1,6445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JASOME010000020.1,6470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JASOSB010000012.1,6492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JASSPP010000023.1,6514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAVTXF010000046.1,6456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAWWWY010000070.1,6541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAWWXF010000042.1,6517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JAWWYB010000046.1,0.0,0.0,6444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JBBNGY010000024.1,0.0,0.0,0.0,6476.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JBGONE010000038.1,0.0,0.0,0.0,0.0,0.0,0.0,6375.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JBHLSP010000031.1,6486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JBIWIT010000029.1,6435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JRNR01000257.1,6471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JRNT01000025.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_JRNU01000149.1,6511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_KE952952.1,0.0,0.0,6552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_KI518418.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6553.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_KQ955743.1,0.0,0.0,6570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_KQ961074.1,6449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_KQ971204.1,6502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_KV803777.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6461.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_NFMF01000018.1,6523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_NQOJ01000020.1,6516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_QJVB01000008.1,6536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_QSQE01000022.1,0.0,0.0,6524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_VYVJ01000030.1,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_WBMB01000033.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6521.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_WUBT01000032.1,6465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_PNGO01000009.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
Illumina_NZ_QPGS01000077.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILLUMINA NOVASEQ  AMPLICON        METAGENOMIC     PAIRED,,,
