Feature ID,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species
NZ_KQ971204.1,0.9807297431851456,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_KV803777.1,0.9999999974807564,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family,Anaerococcus,
NZ_NFMF01000018.1,0.8506715765946984,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_NQOJ01000020.1,0.9999569466298704,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,
NZ_PNGO01000009.1,0.7984193914041032,Eukaryota,Cnidaria,Myxozoa,Bivalvulida,Bivalvulida,Bivalvulida,
NZ_QJVB01000008.1,0.9322566989797012,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_QPGS01000077.1,0.7138444866844058,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_QSQE01000022.1,0.8978894129396996,Eukaryota,Cnidaria,Myxozoa,Bivalvulida,Bivalvulida,Bivalvulida,
NZ_VYVJ01000030.1,0.952819133080579,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
NZ_WBMB01000033.1,0.7674817828848903,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,
NZ_WUBT01000032.1,0.9949017685067356,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
